Vitamin C (mg per 100g),Vitamin B11 (mg per 100g),Sodium (mg per 100g),Calcium (mg per 100g),Carbohydrates (g per 100g),food,Iron (mg per 100g),Calories (kcal per 100g),Sugars (g per 100g),Dietary Fiber (g per 100g),Fat (g per 100g),Protein (g per 100g),food_normalized
0.089,0.4,0.071,0.0,43.2,macaroni cooked,0.1,221.0,0.8,2.5,1.3,8.1,macaroni cooked
0.0,0.083,0.096,21.3,26.7,spinach egg noodles dry,1.6,145.0,0.0,2.6,1.7,5.6,spinach egg noodles dry
0.0,0.022,0.1,4.6,24.4,japanese soba noodles cooked,0.5,113.0,0.0,0.0,0.1,5.8,japanese soba noodles cooked
0.0,0.009,0.075,7.0,42.3,rice noodles cooked,0.2,190.0,0.052,1.8,0.4,3.2,rice noodles cooked
0.0,0.039,0.057,21.0,37.2,whole wheat macaroni cooked,1.5,174.0,1.1,3.9,0.8,7.5,whole wheat macaroni cooked
0.1,0.6,0.089,0.0,71.0,spaghetti cooked,0.2,363.0,1.3,4.1,2.1,13.3,spaghetti cooked
0.0,0.081,0.091,21.0,37.2,whole wheat spaghetti cooked,1.5,174.0,1.1,6.3,0.8,7.5,whole wheat spaghetti cooked
0.3,0.062,0.4,191.3,24.7,waffle,1.7,218.0,0.0,0.0,10.6,5.9,waffle
0.0,0.038,0.004,12.5,8.3,baked taco shell,0.2,61.0,0.2,0.9,2.7,0.8,baked taco shell
0.0,0.1,0.6,24.5,112.0,puff pastry,6.4,1367.0,1.8,3.7,94.3,18.1,puff pastry
0.034,0.068,0.2,0.054,30.2,blueberry muffin,0.063,214.0,17.9,0.6,9.2,2.6,blueberry muffin
